x;y;z
36980.92815;6853.066883;184.2225355
36972.55096;6847.605863;183.7760889
36964.17378;6842.144844;183.0049784
36955.79659;6836.683824;182.2249921
36947.4194;6831.222805;181.7356719
36939.04221;6825.761785;181.4879833
36930.66503;6820.300765;181.9321718
36922.28784;6814.839746;182.6818978
36913.91065;6809.378726;183.4303409
36905.53347;6803.917707;184.1345321
36897.15628;6798.456687;185.4060477
36888.77909;6792.995667;188.1013763
36880.4019;6787.534648;191.451398
36872.02472;6782.073628;194.8752817
36863.64753;6776.612608;198.6627981
36855.27034;6771.151589;202.7036424
36846.89316;6765.690569;206.9705966
36838.51597;6760.22955;211.1299655
36830.13878;6754.76853;215.3567582
36821.76159;6749.30751;219.4893475
36813.38441;6743.846491;222.9120839
36805.00722;6738.385471;225.9622034
36796.63003;6732.924452;227.3037474
36788.25285;6727.463432;227.8363627
36779.87566;6722.002412;227.8635434
36771.49847;6716.541393;227.3049866
36763.12128;6711.080373;226.2472793
36754.7441;6705.619354;225.1888538
36746.36691;6700.158334;223.6325399
36737.98972;6694.697314;221.5575666
36729.61253;6689.236295;218.5884063
36721.23535;6683.775275;215.0564261
36712.85816;6678.314255;211.3838356
36704.48097;6672.853236;208.02349
36696.10379;6667.392216;205.6027294
36687.7266;6661.931197;203.4110391
36679.34941;6656.470177;201.0614704
36670.97222;6651.009157;198.5362935
36662.59504;6645.548138;196.1240053
36654.21785;6640.087118;194.3172595
36645.84066;6634.626099;193.239504
36637.46348;6629.165079;192.9716259
36629.08629;6623.704059;193.3408467
36620.7091;6618.24304;194.3315307
36612.33191;6612.78202;195.8801613
36603.95473;6607.321001;197.4427709
36595.57754;6601.859981;198.6946064
36587.20035;6596.398961;199.4403914
36578.82317;6590.937942;199.9328214
36570.44598;6585.476922;200.3001433
36562.06879;6580.015903;200.2908348
36553.6916;6574.554883;199.931743
36545.31442;6569.093863;198.8713118
36536.93723;6563.632844;197.8597925
36528.56004;6558.171824;196.6723065
36520.18286;6552.710804;195.1043626
36511.80567;6547.249785;193.0413417
36503.42848;6541.788765;190.5968862
36495.05129;6536.327746;188.1312475
36486.67411;6530.866726;185.6656025
36478.29692;6525.405706;183.1999641
36469.91973;6519.944687;181.1678611
36461.54255;6514.483667;179.8620599
36453.16536;6509.022648;179.4952225
36444.78817;6503.561628;179.5009193
36436.41098;6498.100608;180.6901312
36428.0338;6492.639589;182.0866769
36419.65661;6487.178569;183.3009988
36411.27942;6481.71755;184.2723153
36402.90224;6476.25653;185.3749052
36394.52505;6470.79551;186.9271993
36386.14786;6465.334491;189.0907805
36377.77067;6459.873471;191.6317385
36369.39349;6454.412452;194.3390616
36361.0163;6448.951432;197.2059986
36352.63911;6443.490412;200.5014304
36344.26193;6438.029393;203.8203429
36335.88474;6432.568373;206.9944529
36327.50755;6427.107353;210.0772786
36319.13036;6421.646334;212.8453149
36310.75318;6416.185314;215.3542006
36302.37599;6410.724295;217.6535702
36293.9988;6405.263275;219.3240513
36285.62162;6399.802255;221.0671567
