x;y;z
31522.3855;2972.363;200.3052881
31523.20023;2972.942839;200.0051334
31524.01496;2973.522677;199.7041526
31524.82969;2974.102516;199.428012
31525.64443;2974.682354;199.161658
31526.45916;2975.262193;198.9065084
31527.27389;2975.842031;198.6497451
31528.08862;2976.42187;198.3913682
31528.90335;2977.001708;198.1313776
31529.71808;2977.581547;197.8697734
31530.53281;2978.161385;197.6065555
31531.34755;2978.741224;197.341724
31532.16228;2979.321062;197.0752788
31532.97701;2979.900901;196.80722
31533.79174;2980.480739;196.5375475
31534.60647;2981.060578;196.3040753
31535.4212;2981.640416;196.0951905
31536.23593;2982.220255;195.8863056
31537.05067;2982.800093;195.6774208
31537.8654;2983.379932;195.4685359
31538.68013;2983.95977;195.259651
31539.49486;2984.539609;195.0507661
31540.30959;2985.119447;194.8418803
31541.12432;2985.699286;194.6329946
31541.93905;2986.279124;194.4241088
31542.75379;2986.858963;194.2152231
31543.56852;2987.438801;194.0063374
31544.38325;2988.01864;193.7974516
31545.19798;2988.598478;193.5885659
31546.01271;2989.178317;193.3796801
31546.82744;2989.758155;193.1707944
31547.64217;2990.337994;192.9619086
31548.45691;2990.917832;192.7530229
31549.27164;2991.497671;192.5441371
31550.08637;2992.077509;192.3352514
31550.9011;2992.657348;192.1263656
31551.71583;2993.237186;191.9174799
31552.53056;2993.817025;191.7085942
31553.34529;2994.396863;191.4997084
31554.16003;2994.976702;191.2799861
31554.97476;2995.55654;191.334094
31555.78949;2996.136379;191.386168
31556.60422;2996.716217;191.4362081
31557.41895;2997.296056;191.4842142
31558.23368;2997.875894;191.5301864
31559.04841;2998.455733;191.5741246
31559.86315;2999.035571;191.6160289
31560.67788;2999.61541;191.6558993
31561.49261;3000.195248;191.6937358
31562.30734;3000.775087;191.7295384
31563.12207;3001.354925;191.763307
31563.9368;3001.934764;191.7950416
31564.75153;3002.514602;191.8288998
31565.56627;3003.094441;191.8617596
31566.381;3003.674279;191.8924363
31567.19573;3004.254118;191.9209301
31568.01046;3004.833956;191.9165369
31568.82519;3005.413795;191.8883528
31569.63992;3005.993633;191.8550255
31570.45465;3006.573472;191.8165548
31571.26939;3007.15331;191.7729409
31572.08412;3007.733149;191.7241836
31572.89885;3008.312987;191.6702831
31573.71358;3008.892826;191.6112393
31574.52831;3009.472664;191.6068115
31575.34304;3010.052503;191.6601922
31576.15777;3010.632341;191.714718
31576.97251;3011.21218;191.7703888
31577.78724;3011.792018;191.8272047
31578.60197;3012.371857;191.8851657
31579.4167;3012.951695;191.9442718
31580.23143;3013.531534;192.0045229
31581.04616;3014.111372;192.0659191
31581.86089;3014.691211;192.1285128
31582.67563;3015.271049;192.1923986
31583.49036;3015.850888;192.2575137
31584.30509;3016.430726;192.3473835
31585.11982;3017.010565;192.5185703
31585.93455;3017.590403;192.6949005
31586.74928;3018.170242;192.8763741
31587.56401;3018.75008;193.0629912
31588.37875;3019.329919;193.2547518
