#
# Wall-normal profile of the co-variances <ui*uj> 
# 
# Simulation parameters:
#
# Lx/h = 0.75			streamwise domain extent
# Ly/h = 2.0			wall-normal domain extent
# Lz/h = 0.4			spanwise domain extent
# nx = 28			number of Fourier modes in the streamwise direction
# ny = 300			number of collocation points in the wall-normal direction
# nz = 30			number of Fourier modes in the spanwise direction
# dt/(h/Ub) = 0.0078		constant timestep
#
# Reb  = Ub*h/nu = 6891.6	Bulk Reynolds number        (imposed)
# Retau = utau*h/nu = 363.6	Friction Reynolds number    (result)
# 
# All qunatities are normalised by the bulk velocity Ub and 
# the channel semi-height h
#
#
y 	uu 	vv 	ww 	uv 	uw 	vw
0 	7.64548e-39 	0 	2.40476e-38 	0 	8.07895e-41 	0
0.0020146 	0.000280251 	5.36522e-08 	5.19079e-05 	-1.3149e-08 	-9.83779e-07 	4.96682e-09
0.00406593 	0.00113199 	7.32659e-07 	0.000179207 	-1.20016e-07 	-4.04764e-06 	2.80564e-08
0.00615457 	0.00255809 	3.17574e-06 	0.000348892 	-4.48165e-07 	-9.26709e-06 	5.29085e-08
0.00828114 	0.0045195 	8.63144e-06 	0.000538678 	-1.12302e-06 	-1.65416e-05 	3.48431e-08
0.0104462 	0.00692114 	1.82074e-05 	0.000734346 	-2.20082e-06 	-2.55577e-05 	-8.12386e-08
0.0126504 	0.00961763 	3.27767e-05 	0.000928081 	-3.63739e-06 	-3.57411e-05 	-3.38699e-07
0.0148944 	0.0124349 	5.29672e-05 	0.00111648 	-5.32263e-06 	-4.62444e-05 	-7.48171e-07
0.0171788 	0.0151982 	7.9189e-05 	0.00129866 	-7.13752e-06 	-5.60397e-05 	-1.27859e-06
0.0195041 	0.0177556 	0.000111675 	0.00147466 	-8.98908e-06 	-6.41052e-05 	-1.86889e-06
0.0218711 	0.0199939 	0.00015052 	0.00164444 	-1.08216e-05 	-6.9614e-05 	-2.45162e-06
0.0242804 	0.0218431 	0.000195704 	0.00180741 	-1.2619e-05 	-7.2067e-05 	-2.9731e-06
0.0267326 	0.023274 	0.000247119 	0.00196254 	-1.44036e-05 	-7.13628e-05 	-3.40128e-06
0.0292284 	0.0242905 	0.000304574 	0.00210854 	-1.62258e-05 	-6.78009e-05 	-3.72208e-06
0.0317685 	0.0249209 	0.000367813 	0.00224418 	-1.81342e-05 	-6.19978e-05 	-3.93044e-06
0.0343535 	0.0252081 	0.000436519 	0.00236846 	-2.01357e-05 	-5.47314e-05 	-4.02202e-06
0.036984 	0.0252024 	0.000510325 	0.00248076 	-2.21676e-05 	-4.67669e-05 	-3.98855e-06
0.0396608 	0.0249561 	0.000588828 	0.00258091 	-2.40991e-05 	-3.87224e-05 	-3.81748e-06
0.0423846 	0.0245189 	0.000671593 	0.00266919 	-2.57691e-05 	-3.0997e-05 	-3.49768e-06
0.045156 	0.023936 	0.000758167 	0.00274637 	-2.70433e-05 	-2.37548e-05 	-3.03051e-06
0.0479757 	0.0232465 	0.000848083 	0.00281366 	-2.78624e-05 	-1.69574e-05 	-2.43989e-06
0.0508444 	0.0224831 	0.000940856 	0.00287254 	-2.8248e-05 	-1.04516e-05 	-1.77152e-06
0.0537628 	0.0216729 	0.00103597 	0.00292465 	-2.82617e-05 	-4.10853e-06 	-1.07741e-06
0.0567317 	0.0208377 	0.00113288 	0.00297162 	-2.79558e-05 	2.03354e-06 	-3.93453e-07
