x (m),y (m),z (m),Group Number,Tapping Number
0.42625,0,0.339,1,15
0.42625,0,0.05,1,49
0.24625,0,0.339,1,112
0.24625,0,0.05,1,117
0.06625,0,0.339,1,114
0.06625,0,0.05,1,116
-0.11375,0,0.339,1,113
-0.11375,0,0.05,1,115
-0.18665,0,0.336,1,23
-0.29375,0,0.05,1,94
-0.38075,0,0.2594,1,95
-0.47545,0,0.05,1,93
-0.49855,0,0.2094,1,90
-0.53505,0,0.1936,1,124
-0.53645,0,0.057,1,92
-0.55365,0,0.1756,1,123
-0.55445,0,0.07562,1,91
-0.56075,0,0.12492,1,84
0.42625,-0.195,0.2594,2,24
0.42625,0.195,0.2594,2,40
0.24625,-0.195,0.2594,2,100
0.24625,0.195,0.2594,2,105
0.06625,-0.195,0.2594,2,109
0.06625,0.195,0.2594,2,111
-0.11355,0.195,0.2594,2,110
-0.11375,-0.195,0.2594,2,108
-0.20375,-0.195,0.2594,2,107
-0.20375,0.195,0.2594,2,106
-0.28825,-0.1925,0.2594,2,32
-0.28825,0.1925,0.2594,2,41
-0.32425,-0.186,0.2594,2,99
-0.32425,0.186,0.2594,2,104
-0.35875,-0.1725,0.2594,2,98
-0.35875,0.1725,0.2594,2,103
-0.38075,-0.1445,0.2594,2,97
-0.38075,-0.0723,0.2594,2,96
-0.38075,0,0.2594,2,95
-0.38075,0.0723,0.2594,2,101
-0.38075,0.1445,0.2594,2,102
-0.51475,-0.195,0.1249,3,89
-0.51475,0.195,0.1249,3,79
-0.53505,-0.1882,0.1249,3,88
-0.53505,0.1882,0.1249,3,80
-0.55365,-0.1702,0.1249,3,87
-0.55365,0.1702,0.1249,3,81
-0.56075,-0.1445,0.1249,3,86
-0.56075,-0.0723,0.1249,3,85
-0.56075,0,0.1249,3,84
-0.56075,0.0723,0.1249,3,83
-0.56075,0.1445,0.1249,3,82
0.48325,-0.1755,0.3214,4,52
0.48325,-0.1755,0.2864,4,53
0.48325,-0.1755,0.2464,4,54
0.48325,-0.1755,0.1944,4,55
0.48325,-0.1755,0.1424,4,56
0.48325,-0.1755,0.1024,4,57
0.48325,-0.1755,0.0674,4,58
0.48325,-0.1259,0.3214,4,42
0.48325,-0.1259,0.2864,4,43
0.48325,-0.1259,0.2464,4,44
0.48325,-0.1259,0.1944,4,45
0.48325,-0.1259,0.1424,4,46
0.48325,-0.1259,0.1024,4,47
0.48325,-0.1259,0.0674,4,48
0.48325,-0.0729,0.3214,4,33
0.48325,-0.0729,0.2864,4,34
0.48325,-0.0729,0.2464,4,35
0.48325,-0.0729,0.1944,4,36
0.48325,-0.0729,0.1424,4,37
0.48325,-0.0729,0.1024,4,38
0.48325,-0.0729,0.0674,4,39
0.48325,-0.0243,0.3214,4,25
0.48325,-0.0243,0.2864,4,26
0.48325,-0.0243,0.2464,4,27
0.48325,-0.0243,0.1944,4,28
0.48325,-0.0243,0.1424,4,29
0.48325,-0.0243,0.1024,4,30
0.48325,-0.0243,0.0674,4,31
0.48325,0.0243,0.3214,4,16
0.48325,0.0243,0.2864,4,17
0.48325,0.0243,0.2464,4,18
0.48325,0.0243,0.1944,4,19
0.48325,0.0243,0.1424,4,20
0.48325,0.0243,0.1024,4,21
0.48325,0.0243,0.0674,4,22
0.48325,0.0729,0.3214,4,8
0.48325,0.0729,0.2864,4,9
0.48325,0.0729,0.2464,4,10
0.48325,0.0729,0.1944,4,11
0.48325,0.0729,0.1424,4,12
0.48325,0.0729,0.1024,4,13
0.48325,0.0729,0.0674,4,14
0.48325,0.1259,0.3214,4,1
0.48325,0.1259,0.2864,4,2
0.48325,0.1259,0.2464,4,3
0.48325,0.1259,0.1944,4,4
0.48325,0.1259,0.1424,4,5
0.48325,0.1259,0.1024,4,6
0.48325,0.1259,0.0674,4,7
0.48325,0.1755,0.3214,4,50
0.48325,0.1755,0.2864,4,51
0.48325,0.1755,0.2464,4,59
0.48325,0.1755,0.1944,4,60
0.48325,0.1755,0.1424,4,61
0.48325,0.1755,0.1024,4,62
0.48325,0.1755,0.0674,4,63
