# X, Y, wSS_x, wSS_y, wSS_z
-3.750000000000000000e+03 -1.250000000000000000e+03 -4.797102804917949825e-01 -2.284357185253290123e-01 -2.284357185253290123e-01
-3.750000000000000000e+03 -1.250000000000000000e+03 -4.797102804917949825e-01 -2.284357185253290123e-01 -2.284357185253290123e-01
-3.717948717948720059e+03 -1.239316239316239944e+03 -4.797102804917949825e-01 -2.284357185253290123e-01 -2.284357185253290123e-01
-3.685897435897440118e+03 -1.228632478632479888e+03 -4.803458425728829861e-01 -2.287646399793800134e-01 -2.287646399793800134e-01
-3.653846153846150173e+03 -1.217948717948720059e+03 -4.809008610907780090e-01 -2.291064878602180055e-01 -2.291064878602180055e-01
-3.621794871794869778e+03 -1.207264957264960003e+03 -4.819785705279669985e-01 -2.297761468883350033e-01 -2.297761468883350033e-01
-3.589743589743589837e+03 -1.196581196581199947e+03 -4.822136590448580229e-01 -2.300282991345529993e-01 -2.300282991345529993e-01
-3.557692307692309896e+03 -1.185897435897439891e+03 -4.823805807830600090e-01 -2.301946528552789861e-01 -2.301946528552789861e-01
-3.557692307692309896e+03 -1.185897435897439891e+03 -4.825007241175470196e-01 -2.303091579308000070e-01 -2.303091579308000070e-01
-3.525641025641029955e+03 -1.175213675213680062e+03 -4.834873690025660031e-01 -2.307774392988309886e-01 -2.307774392988309886e-01
-3.493589743589740010e+03 -1.164529914529910002e+03 -4.836178255919350022e-01 -2.309509558980600008e-01 -2.309509558980600008e-01
-3.461538461538460069e+03 -1.153846153846149946e+03 -4.837136753818940260e-01 -2.310844269224870129e-01 -2.310844269224870129e-01
-3.429487179487180128e+03 -1.143162393162389890e+03 -4.845788864404270146e-01 -2.315282247807410043e-01 -2.315282247807410043e-01
-3.397435897435900188e+03 -1.132478632478630061e+03 -4.846541145038750220e-01 -2.316490246114359941e-01 -2.316490246114359941e-01
-3.365384615384619792e+03 -1.121794871794870005e+03 -4.847134155220920171e-01 -2.317438140330800034e-01 -2.317438140330800034e-01
-3.365384615384609788e+03 -1.121794871794870005e+03 -4.853046214324360230e-01 -2.319807868190439937e-01 -2.319807868190439937e-01
-3.333333333333329847e+03 -1.111111111111109949e+03 -4.853591614291120071e-01 -2.320883253451949957e-01 -2.320883253451949957e-01
-3.301282051282049906e+03 -1.100427350427349893e+03 -4.854045764190780266e-01 -2.321763214168089950e-01 -2.321763214168089950e-01
-3.269230769230769965e+03 -1.089743589743590064e+03 -4.854749457301930082e-01 -2.323018513350230130e-01 -2.323018513350230130e-01
-3.237179487179490025e+03 -1.079059829059830008e+03 -4.859075818111590062e-01 -2.325004781887559935e-01 -2.325004781887559935e-01
-3.205128205128210084e+03 -1.068376068376069952e+03 -4.859375372997600251e-01 -2.325665596736599949e-01 -2.325665596736599949e-01
-3.173076923076920139e+03 -1.057692307692309896e+03 -4.859643977115220004e-01 -2.326205403413700024e-01 -2.326205403413700024e-01
-3.173076923076920139e+03 -1.057692307692309896e+03 -4.862608266142520175e-01 -2.327345868026259867e-01 -2.327345868026259867e-01
-3.141025641025640198e+03 -1.047008547008550067e+03 -4.862833531323449976e-01 -2.327959116379849924e-01 -2.327959116379849924e-01
-3.108974358974359802e+03 -1.036324786324790011e+03 -4.863053654714989960e-01 -2.328477263631880123e-01 -2.328477263631880123e-01
-3.076923076923079861e+03 -1.025641025641029955e+03 -4.863257249822420247e-01 -2.328909521663289905e-01 -2.328909521663289905e-01
-3.076923076923079861e+03 -1.025641025641029955e+03 -4.865113644820620031e-01 -2.329572906377130048e-01 -2.329572906377130048e-01
-3.044871794871789916e+03 -1.014957264957260008e+03 -4.865290024998180085e-01 -2.330068599386450057e-01 -2.330068599386450057e-01
-3.012820512820509975e+03 -1.004273504273499952e+03 -4.865467316179110102e-01 -2.330492006517209946e-01 -2.330492006517209946e-01
-2.980769230769230035e+03 -9.935897435897439891e+02 -4.865632132747479965e-01 -2.330848927702789952e-01 -2.330848927702789952e-01
-2.980769230769230035e+03 -9.935897435897429659e+02 -4.866754441131689868e-01 -2.331522700558300021e-01 -2.331522700558300021e-01
-2.980769230769230035e+03 -9.935897435897429659e+02 -4.866601033152129774e-01 -2.331110239047249899e-01 -2.331110239047249899e-01
-2.948717948717950094e+03 -9.829059829059830236e+02 -4.866754441131689868e-01 -2.331522700558300021e-01 -2.331522700558300021e-01
-2.916666666666670153e+03 -9.722222222222219443e+02 -4.866910686556309984e-01 -2.331877975812939874e-01 -2.331877975812939874e-01
-2.884615384615390212e+03 -9.615384615384620020e+02 -4.867055105478860222e-01 -2.332179250903929912e-01 -2.332179250903929912e-01
