# Leipzig profile
# https://doi.org/10.5281/zenodo.4090378
# Derived from DOI: 10.1111/j.2153-3490.1950.tb00321.x
# Z(m),U(m/s),V(m/s),nu_t(m2/s)
50,9.15,4.35,10.56
100,10.45,4.64,13.04
150,11.58,4.8,13.84
200,12.6,4.95,14.32
250,13.48,4.96,14.4
300,14.3,4.9,14.32
350,14.97,4.78,14
400,15.62,4.6,13.28
450,16.28,4.29,12.8
500,16.83,4,12
550,17.3,3.71,11.36
600,17.7,3.37,10.96
650,17.99,3.07,10.24
700,18.23,2.73,9.44
750,18.42,2.43,8.64
800,18.6,2.06,7.6
850,18.66,1.7,6.48
900,18.68,1.31,5.6
950,18.62,0.91,4.64

