#
# Wall-normal profile of the mean velocities and their wall-normal derivatives
# 
# Simulation parameters:
#
# Lx/h = 0.75			streamwise domain extent
# Ly/h = 2.0			wall-normal domain extent
# Lz/h = 0.4			spanwise domain extent
# nx = 28			number of Fourier modes in the streamwise direction
# ny = 300			number of collocation points in the wall-normal direction
# nz = 30			number of Fourier modes in the spanwise direction
# dt/(h/Ub) = 0.0078		constant timestep
#
# Reb  = Ub*h/nu = 6891.6	Bulk Reynolds number        (imposed)
# Retau = utau*h/nu = 363.6	Friction Reynolds number    (result)
# 
# All qunatities are normalised by the bulk velocity Ub and 
# the channel semi-height h
#
#
y 	U 	W 	Uy 	Wy 	Uyy 	Wyy
0 	0 	0 	19.2467 	0.0202231 	-0.881315 	-0.106103
0.0020146 	0.0385704 	4.06041e-05 	19.2101 	0.0201283 	-35.3301 	0.0117317
0.00406593 	0.0777001 	8.19889e-05 	19.1089 	0.0202535 	-65.4735 	0.116786
0.00615457 	0.117247 	0.000124675 	18.9127 	0.0206906 	-126.182 	0.30166
0.00828114 	0.156947 	0.000169456 	18.5671 	0.0214627 	-200.097 	0.407129
0.0104462 	0.196445 	0.000216897 	18.0476 	0.0223596 	-279.501 	0.405904
0.0126504 	0.235329 	0.000267118 	17.3484 	0.0231796 	-353.051 	0.335026
0.0148944 	0.27318 	0.000319929 	16.4858 	0.0238726 	-412.836 	0.295608
0.0171788 	0.309606 	0.000375271 	15.4917 	0.0246078 	-454.228 	0.367186
0.0195041 	0.344283 	0.000433628 	14.4062 	0.0256561 	-476.098 	0.545355
0.0218711 	0.376965 	0.000496078 	13.2715 	0.0271934 	-479.916 	0.748119
0.0242804 	0.407495 	0.000563913 	12.1261 	0.0291693 	-468.759 	0.871867
0.0267326 	0.435795 	0.000638077 	11.0022 	0.0313076 	-446.378 	0.844938
0.0292284 	0.461858 	0.000718685 	9.92437 	0.0332052 	-416.493 	0.651043
0.0317685 	0.485733 	0.000804808 	8.90935 	0.0344675 	-382.339 	0.329002
0.0343535 	0.507512 	0.000894595 	7.96736 	0.0348395 	-346.463 	-0.0391494
0.036984 	0.527312 	0.000985718 	7.1033 	0.0343017 	-310.712 	-0.351731
0.0396608 	0.545269 	0.00107602 	6.31815 	0.0330947 	-276.321 	-0.521848
0.0423846 	0.561525 	0.00116419 	5.61014 	0.031648 	-244.035 	-0.512414
0.045156 	0.576222 	0.00125009 	4.97583 	0.0304209 	-214.239 	-0.356441
0.0479757 	0.589497 	0.00133473 	4.41075 	0.0297144 	-187.082 	-0.144713
0.0508444 	0.601485 	0.00141963 	3.90995 	0.0295599 	-162.57 	0.0246294
0.0537628 	0.61231 	0.00150615 	3.46824 	0.0297699 	-140.603 	0.105543
0.0567317 	0.622092 	0.00159504 	3.08055 	0.0301152 	-121.008 	0.120631
0.0597517 	0.630944 	0.00168654 	2.74198 	0.0304823 	-103.612 	0.125028
0.0628235 	0.638968 	0.00178081 	2.44778 	0.0309177 	-88.3256 	0.167095
0.0659479 	0.64626 	0.00187837 	2.19306 	0.0315871 	-75.1041 	0.270835
0.0691256 	0.652907 	0.00198036 	1.97283 	0.032685 	-63.8448 	0.424636
0.0723573 	0.658988 	0.00208849 	1.78238 	0.0343215 	-54.307 	0.584551
0.0756437 	0.664576 	0.00220468 	1.61768 	0.0364541 	-46.1443 	0.703537
0.0789856 	0.669735 	0.00233056 	1.47564 	0.0389107 	-39.0421 	0.752807
0.0823836 	0.674528 	0.00246709 	1.35383 	0.0414227 	-32.8027 	0.706167
0.0858386 	0.679012 	0.00261413 	1.25022 	0.0435853 	-27.3021 	0.520944
0.0893512 	0.683238 	0.00276981 	1.16306 	0.0448542 	-22.4429 	0.184285
0.0929222 	0.687254 	0.00293032 	1.09074 	0.0448053 	-18.1716 	-0.206391
0.0965523 	0.691104 	0.00309089 	1.03164 	0.0434802 	-14.4991 	-0.501578
0.100242 	0.694827 	0.00324749 	0.983991 	0.0413063 	-11.4254 	-0.661013
0.103993 	0.698459 	0.00339748 	0.946131 	0.038604 	-8.83594 	-0.786322
0.107805 	0.702029 	0.00353845 	0.916884 	0.0352102 	-6.55749 	-1.01756
0.111679 	0.705567 	0.00366632 	0.89556 	0.0305503 	-4.49308 	-1.40709
0.115616 	0.7091 	0.00377451 	0.881568 	0.0241084 	-2.6701 	-1.85944
0.119616 	0.712654 	0.00385507 	0.873963 	0.0159401 	-1.20678 	-2.18711
0.12368 	0.71625 	0.00390148 	0.871232 	0.00687312 	-0.216176 	-2.2174
0.12781 	0.719904 	0.00391165 	0.871633 	-0.00171117 	0.359726 	-1.88298
0.132005 	0.723628 	0.00388962 	0.87402 	-0.00833214 	0.764571 	-1.23152
0.136267 	0.727432 	0.0038454 	0.878126 	-0.0118057 	1.15645 	-0.384888
0.140596 	0.731324 	0.00379339 	0.883881 	-0.0116091 	1.48693 	0.451708
0.144993 	0.73531 	0.00374889 	0.890945 	-0.00819246 	1.71247 	1.04702
0.149458 	0.739394 	0.00372378 	0.899001 	-0.00289427 	1.88935 	1.25902
0.153993 	0.743575 	0.00372329 	0.907917 	0.00253439 	2.03288 	1.07943
0.158597 	0.747852 	0.00374499 	0.917446 	0.00653393 	2.08934 	0.631421
0.163273 	0.752222 	0.00378056 	0.927145 	0.00827838 	2.04077 	0.124129
0.168019 	0.756684 	0.0038197 	0.93647 	0.00791756 	1.86032 	-0.240204
0.172838 	0.761236 	0.00385439 	0.944583 	0.00639554 	1.48088 	-0.348906
0.177729 	0.765875 	0.0038818 	0.950646 	0.00492137 	1.00772 	-0.227436
0.182694 	0.770594 	0.00390425 	0.954829 	0.00430084 	0.722614 	-0.0219122
0.187733 	0.775391 	0.00392636 	0.958418 	0.00460074 	0.738697 	0.122619
0.192846 	0.780268 	0.00395167 	0.962537 	0.00530007 	0.869994 	0.126423
0.198035 	0.785232 	0.00398039 	0.967148 	0.00564868 	0.88004 	-0.00535106
0.203299 	0.790289 	0.00400931 	0.971404 	0.00519902 	0.715301 	-0.160518
0.20864 	0.795441 	0.00403428 	0.974579 	0.00407066 	0.467403 	-0.245501
0.214058 	0.800687 	0.00405274 	0.97642 	0.00277281 	0.208316 	-0.21255
0.219554 	0.806018 	0.00406544 	0.976744 	0.00199527 	-0.0960911 	-0.063222
0.225128 	0.811423 	0.00407629 	0.975291 	0.00201428 	-0.415958 	0.050333
0.230781 	0.81689 	0.00408838 	0.972292 	0.00220262 	-0.627863 	-0.00266453
0.236512 	0.822416 	0.00410041 	0.968284 	0.00189979 	-0.767612 	-0.0902417
0.242324 	0.828 	0.00411012 	0.963342 	0.00151607 	-0.929838 	-0.0197757
0.248216 	0.833645 	0.00411955 	0.957541 	0.0018405 	-1.01726 	0.12425
0.254189 	0.839349 	0.00413309 	0.951628 	0.00271519 	-0.934625 	0.145465
0.260242 	0.845111 	0.00415169 	0.946633 	0.00331291 	-0.688822 	0.0405366
0.266378 	0.85093 	0.00417201 	0.94359 	0.00318842 	-0.290882 	-0.0703868
0.272595 	0.856811 	0.00419031 	0.943053 	0.0027059 	0.088703 	-0.0641708
0.278895 	0.86276 	0.00420673 	0.944019 	0.00263789 	0.146508 	0.050214
0.285278 	0.868775 	0.00422535 	0.943811 	0.00330555 	-0.272486 	0.14785
0.291744 	0.874841 	0.00424997 	0.939985 	0.00430846 	-0.914844 	0.148303
0.298293 	0.880939 	0.00428101 	0.932221 	0.00509945 	-1.41493 	0.0914399
0.304926 	0.887048 	0.00431657 	0.922015 	0.00558947 	-1.6036 	0.0598882
0.311643 	0.893154 	0.00435529 	0.911656 	0.00591479 	-1.43499 	0.0358951
0.318444 	0.899257 	0.00439605 	0.903041 	0.00602662 	-1.09002 	-0.00452809
0.325329 	0.905368 	0.00443711 	0.896602 	0.00585193 	-0.801561 	-0.0442069
0.3323 	0.911496 	0.00447663 	0.891531 	0.00546256 	-0.685817 	-0.0677494
0.339355 	0.917649 	0.00451317 	0.886508 	0.00484379 	-0.764929 	-0.117033
0.346494 	0.923834 	0.00454382 	0.880376 	0.00359033 	-0.960304 	-0.235871
0.353719 	0.93005 	0.00456285 	0.872764 	0.00158938 	-1.1411 	-0.304693
0.361029 	0.936296 	0.00456636 	0.863871 	-0.000599211 	-1.30149 	-0.288419
0.368424 	0.942574 	0.0045541 	0.853256 	-0.00271645 	-1.58159 	-0.292941
0.375904 	0.948883 	0.00452504 	0.840301 	-0.00515114 	-1.8478 	-0.369428
0.383469 	0.95522 	0.0044743 	0.826471 	-0.00843 	-1.76428 	-0.479008
0.391118 	0.961581 	0.00439643 	0.813805 	-0.0117563 	-1.573 	-0.34388
0.398853 	0.967956 	0.0042988 	0.801191 	-0.012953 	-1.71863 	0.0346918
0.406672 	0.974335 	0.00420088 	0.787181 	-0.0118925 	-1.83425 	0.177272
0.414576 	0.980718 	0.0041106 	0.773174 	-0.0113165 	-1.69237 	-0.0734923
0.422564 	0.987126 	0.00401419 	0.760074 	-0.0132902 	-1.57939 	-0.400064
0.430636 	0.993577 	0.00389253 	0.748295 	-0.0169193 	-1.30392 	-0.453657
0.438791 	1.00007 	0.00374093 	0.739611 	-0.0200109 	-0.826302 	-0.291071
0.44703 	1.00661 	0.00356776 	0.734134 	-0.0218523 	-0.53366 	-0.150876
0.455351 	1.01317 	0.00338319 	0.730427 	-0.0221704 	-0.365692 	0.0843584
0.463755 	1.01973 	0.00320281 	0.728102 	-0.020406 	-0.201248 	0.327458
0.472241 	1.02631 	0.00304356 	0.72652 	-0.0168998 	-0.213466 	0.507225
0.480809 	1.03289 	0.0029211 	0.723544 	-0.0112 	-0.530077 	0.826042
0.489457 	1.03946 	0.00285813 	0.716596 	-0.00307706 	-1.06961 	1.01099
0.498186 	1.04598 	0.00286901 	0.705895 	0.00536967 	-1.32104 	0.897089
0.506994 	1.05242 	0.00294933 	0.694585 	0.0126654 	-1.21816 	0.756087
0.515881 	1.05878 	0.0030895 	0.684232 	0.0186015 	-1.10051 	0.557696
0.524847 	1.06506 	0.00327399 	0.675448 	0.0219613 	-0.837757 	0.178014
0.53389 	1.07128 	0.00347478 	0.669441 	0.0219033 	-0.509085 	-0.176384
0.543009 	1.07747 	0.0036635 	0.66531 	0.0191311 	-0.436036 	-0.406926
0.552205 	1.08364 	0.00382066 	0.66093 	0.0149403 	-0.509278 	-0.487124
0.561475 	1.08981 	0.00393775 	0.656672 	0.0102765 	-0.372457 	-0.535924
0.570819 	1.096 	0.0040073 	0.65462 	0.00420533 	-0.0654691 	-0.770482
0.580236 	1.10223 	0.0040104 	0.654925 	-0.00372593 	0.10014 	-0.86275
0.589724 	1.10851 	0.00393967 	0.655922 	-0.0106523 	0.0795462 	-0.55822
0.599284 	1.11485 	0.00381781 	0.655877 	-0.0142756 	-0.113384 	-0.217571
0.608913 	1.1212 	0.00367321 	0.653345 	-0.0155373 	-0.414497 	-0.0736241
0.618611 	1.12752 	0.00351974 	0.648146 	-0.0160952 	-0.648586 	-0.0584748
0.628375 	1.13379 	0.003359 	0.640763 	-0.0169367 	-0.870303 	-0.117066
0.638206 	1.13998 	0.0031862 	0.630766 	-0.0182629 	-1.16568 	-0.138326
0.648101 	1.14609 	0.00299986 	0.617972 	-0.0192287 	-1.38056 	-0.0332392
0.658059 	1.15211 	0.00281034 	0.604686 	-0.0184104 	-1.22666 	0.214347
0.66808 	1.15808 	0.00264161 	0.594594 	-0.0147595 	-0.764542 	0.504728
0.67816 	1.16403 	0.00252166 	0.589181 	-0.00879754 	-0.320651 	0.638759
0.6883 	1.16999 	0.00246381 	0.58784 	-0.00287854 	0.0416817 	0.496031
0.698497 	1.17596 	0.00245625 	0.589752 	0.0009769 	0.308485 	0.268449
0.70875 	1.18196 	0.00247843 	0.593448 	0.00322931 	0.372847 	0.184926
0.719056 	1.18798 	0.00252018 	0.5965 	0.00473169 	0.174503 	0.0947781
0.729416 	1.194 	0.00257108 	0.596098 	0.00474132 	-0.285448 	-0.0922127
0.739826 	1.2 	0.00261345 	0.590105 	0.0032662 	-0.850508 	-0.167043
0.750286 	1.20594 	0.00263925 	0.579385 	0.0018036 	-1.1416 	-0.0965938
0.760793 	1.21179 	0.00265486 	0.567522 	0.0013723 	-1.08643 	0.0145618
0.771345 	1.21753 	0.00267186 	0.556424 	0.00199231 	-1.04277 	0.0930287
0.781941 	1.22315 	0.00269855 	0.54447 	0.00304754 	-1.24782 	0.1016
0.79258 	1.22864 	0.00273709 	0.529455 	0.00424786 	-1.56882 	0.132266
0.803258 	1.23399 	0.00279154 	0.511729 	0.00611976 	-1.72291 	0.220371
0.813974 	1.2392 	0.00287102 	0.4931 	0.00880513 	-1.74725 	0.262379
0.824726 	1.24425 	0.00297933 	0.473993 	0.0111256 	-1.80882 	0.148004
0.835513 	1.24912 	0.00310437 	0.454266 	0.0116973 	-1.84217 	-0.040299
0.846332 	1.25382 	0.00322604 	0.434357 	0.0106101 	-1.84345 	-0.14204
0.857181 	1.25833 	0.00333258 	0.41393 	0.00906476 	-1.93728 	-0.12651
0.868058 	1.26263 	0.00342518 	0.392002 	0.0081263 	-2.09803 	-0.0411472
0.878961 	1.26671 	0.00351299 	0.368349 	0.00812211 	-2.23361 	0.028269
0.889888 	1.27054 	0.00360304 	0.343441 	0.00826649 	-2.31569 	-0.0212962
0.900836 	1.27408 	0.00368966 	0.317915 	0.00728072 	-2.3454 	-0.158804
0.911805 	1.27733 	0.00375838 	0.291889 	0.00515274 	-2.41284 	-0.208504
0.922791 	1.28027 	0.00380358 	0.264535 	0.00324286 	-2.58154 	-0.128358
0.933792 	1.28288 	0.00383314 	0.234892 	0.00227072 	-2.81493 	-0.055646
0.944806 	1.28513 	0.00385526 	0.202462 	0.00175972 	-3.0681 	-0.0446773
0.955832 	1.287 	0.00387177 	0.167606 	0.00121203 	-3.23745 	-0.0563221
